ACCOUNT TRANSACTION HISTORY

Name:, FirstName Surname
Account:, 12344567, [FNB Aspire Current Account]
Balance:, 1234.86, 1234.21

Date, Amount, Balance, Description
2025/11/12, -69.99, 1234.86, 69.99 Spotify P3C4A 412**7549  10 NOV
2025/11/08, -153.10, 1234.15, 153.10 STEAM PURCHA 412**7549  05 NOV
2025/11/08, -98.64, 1234.25, 98.64 Netflix Payment  412**7549  06 NOV
2025/11/07, -22.00, 1234.89, SMART-AP PREPAID AIRTIME 074
2025/11/05, -140.00, 1234.89, Mugg Bean Coffee Queensb 412**7549  01 NOV
2025/11/05, 140.00, 1234.89, Interest earned on investments 30921
2025/11/03, -445.00, 1234.89, CAPRI PIZZA ON VERA    16 412**7549  31 OCT
2025/11/15, -89.00, 1180.22, 89.00 WIMPY CAPE RD 412**7549  14 NOV
2025/11/15, -249.99, 1269.22, 249.99 TAKEALOT.COM  412**7549  13 NOV
2025/11/14, -56.50, 1519.21, 56.50 KAUAI SANDTON CT  412**7549  13 NOV
2025/11/14, -120.00, 1575.71, Checkers Sixty60 ORDE  13 NOV
2025/11/13, -38.90, 1695.71, PICK N PAY EXPRESS N1  412**7549  12 NOV
2025/11/12, -24.99, 1734.61, Uber Trip CapeTown 412**7549
2025/11/12, -69.99, 1759.60, 69.99 Spotify P3C4A 412**7549  10 NOV
2025/11/11, -310.00, 1829.59, NANDO'S RONDEBOSCH 412**7549  09 NOV
2025/11/10, -12.00, 2139.59, PARKING CTICC P2  08 NOV
2025/11/10, -98.64, 2151.59, 98.64 Netflix Payment  412**7549  06 NOV
2025/11/09, -179.50, 2250.23, SPUR GARDENS CT 412**7549  07 NOV
2025/11/08, -153.10, 2429.73, 153.10 STEAM PURCHA 412**7549  05 NOV
2025/11/08, -48.00, 2582.83, MCDONALD'S STRAND ST  412**7549  06 NOV
2025/11/07, -22.00, 2630.83, SMART-AP PREPAID AIRTIME 0741
2025/11/06, -140.00, 2652.83, Mugg Bean Coffee Queensb 412**7549  01 NOV
2025/11/06, 140.00, 2792.83, Interest earned on investments 30921
2025/11/05, -445.00, 2652.83, CAPRI PIZZA ON VERA    16 412**7549  31 OCT
2025/11/04, -89.99, 3097.83, 89.99 Yoco*Bootlegger SeaPt 412**7549  03 NOV
2025/11/03, -510.00, 3187.82, Pick n Pay Hyper Canal Wlk 412**7549  02 NOV
